PVC_Nr,Batch,Subject,Sow,Test_Nr,HAT_disturbance_freq,HAT_exploration_human_dur,HAT_exploration_human_freq,HAT_jumping_freq,HAT_latency_to_touch_the_human_dur,HAT_pig_not_visible_dur,HAT_pig_not_visible_freq,HAT_pig_visible_not_exploring_dur,HAT_pig_visible_not_exploring_freq,HAT_tail_wagging_freq,HAT_touching_not_visible_freq,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_latency_nose_nose_dur,NPT_nose_nose_freq,NPT_NP_not_visible_dur,NPT_NP_walking_by_fence_dur,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
1,2,16,775,1,0,71.087,13,0,22.827,40.997,15,157.866,23,3,10,52.742,5,0,89.482,10,178.497,11,179.24,4,95.25,0,91.75,38.002,8,2,1,0,0,0,0,0,5,15,4.995,4,13.996,6,85.496,6,18.751,4,19.249,5,93.737,5,37.996,7,41.744,12,104.736,0,0,0,4.995
1,2,16,775,2,0,112.005,8,0,8.099,60.915,6,97.059,8,0,2,0,0,0,21.251,3,248.744,3,263.997,2,270,0,251.249,6,2,0,0,2,0,0,0,6.747,29,20.498,0,0,0,2,80.246,0,0,2,6,3,183.748,1,6.25,2,8.001,4,194.497,0,0,0,0
2,2,10,772,1,0,16.455,3,0,118.959,19.134,5,234.397,7,0,0,4.241,1,0,92.481,10,173.697,11,197.498,5,270,7.242,19.741,68.25,6,0,0,0,3,3.801,1,35.743,8,28,0,1,4.241,7,101.65,6,47.998,5,20.247,7,95.839,4,24.745,10,55.732,12,142.993,0,0,3.801,0
2,2,10,772,2,1,38.749,3,0,1.4,18.699,3,212.542,5,0,0,2.555,1,0,57.441,7,212.546,7,206.503,6,270,8.303,60.806,60.929,7,0,0,0,0,0,0,10.56,29,4.251,0,1,2.555,6,46.992,6,40.69,5,20.235,6,159.505,5,26.49,8,30.694,8,185.056,0,0,0,0
3,2,12,772,1,0,17.849,6,0,17.32,39.64,9,212.482,15,0,2,46.369,5,0,71.919,8,198.065,9,168.312,6,110.162,0,85.354,55.299,10,0,0,0,0,0,0,6.586,9,34.776,0,4,22.846,6,51.919,7,29.954,7,25.341,8,116.385,5,23.781,8,63.692,13,145.093,0,0,0,0
3,2,12,772,2,1,10.752,2,0,34.053,28.108,3,231.13,6,0,0,32.758,5,0,111.251,9,158.731,10,162.498,7,77.997,0,54.997,74.722,11,0,0,0,1,0,0,5.5,13,0,0,4,25.514,6,69.497,8,44.464,5,30.256,5,92.997,4,34.748,10,76.498,11,140.484,0,0,0,0
4,2,1,691,1,0,10.247,3,0,2.745,29.091,10,230.636,14,0,2,5.95,1,0,10.499,1,191.9,6,256.546,2,7.633,0,3.133,7.5,2,0,0,0,0,67.59,5,39.334,15,2.197,0,0,0,2,28.543,1,1.648,2,5.851,3,228,2,0.999,1,9.498,6,175.051,0,0,67.59,0
4,2,1,691,2,1,47.593,4,0,42.213,22.743,3,199.65,8,0,0,0,0,0,18.747,4,155.978,19,258.499,3,270,0,226.25,11.497,2,0,0,0,0,95.239,14,0,29,0,46,0,0,7,100.486,2,5.249,1,6.247,7,158.002,2,3.245,4,13.749,21,122.228,6,33.246,61.993,12.754
5,2,6,691,1,1,0.998,1,0,5.161,28.031,6,240.958,7,0,1,7.503,1,0,24.239,5,219.254,9,250.244,3,172.255,0,166.257,12.247,3,0,0,0,0,26.491,3,15.76,7,30.24,5.001,0,0,8,82.239,2,8.007,2,4.239,6,167.994,2,4.74,3,17.504,15,144.231,0,0,26.491,5.001
5,2,6,691,2,0,77.335,8,0,2.253,27.753,6,164.886,13,0,1,0,0,0,68.995,8,195.988,9,203.242,6,270,0,75.749,66.747,6,0,0,0,0,5,1,3.751,13,24,10.251,0,0,10,132.247,5,46.996,3,19.749,7,70.984,6,35.995,5,23.245,11,129.988,0,0,5,10.251
6,2,17,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,4,728,1,1,7.647,2,0,39.956,26.287,5,236.054,6,0,0,15.747,1,0,24.507,3,241.986,4,236.742,1,238.995,0,236.742,17.508,2,0,0,0,0,3.5,1,35.492,22,0,40.245,0,0,6,29.994,0,0,2,17.508,7,206.736,0,0,1,2.505,11,207.996,0,0,3.5,40.245
7,2,4,728,2,2,3.45,2,0,5.584,35.448,6,231.086,9,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2,13,751,1,0,23.591,7,0,5.305,57.09,13,189.286,14,0,7,0,0,0,7.251,2,225.489,10,260.996,4,270,0,73.749,8.998,3,6.494,3,0,0,30.747,5,3.251,14,25.754,0,0,0,6,102.235,3,8.998,0,0,4,158.755,0,0,1,3.001,14,176.209,0,0,30.747,0
9,2,13,751,2,0,79.239,9,0,4.877,61.536,9,129.197,11,0,2,15.251,2,0,52.234,9,174.483,15,201.276,9,162.503,0,134.507,53.453,10,20.002,7,0,0,23.247,4,0,29,0,0,1,3.003,4,11.75,4,19.239,9,34.211,9,189.522,3,11.242,9,40.989,16,165.978,0,0,23.247,0
10,2,5,751,1,2,6.049,1,0,56.87,20.925,6,243.014,6,0,0,30.495,3,0,53.739,5,190.143,10,157.744,4,186.348,18.1,66.103,81.747,8,0,0,0,2,26.1,4,20.599,15,0,55.25,2,3.25,1,1.746,2,8.743,8,73.002,5,155.996,2,3.749,6,40.736,9,168.246,4,26.1,0,29.15
10,2,5,751,2,0,60.403,4,0,3.824,27.249,4,182.333,8,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,7,592,1,0,0,0,3,270,77.481,12,225.979,14,0,0,21.477,2,0,134.96,8,131.525,9,108.022,5,222.026,0,58.026,140.489,6,0,0,0,2,3.498,1,14.029,15,0,0,1,10.502,3,25.743,8,69.49,8,70.989,4,82.277,7,58.49,9,76.462,12,102.275,0,0,3.498,0
11,2,7,592,2,1,23.499,1,0,172.35,22.528,8,223.955,10,0,0,0,0,0,61.75,3,208.246,2,221.498,2,270,14.25,229.001,48.498,3,0,0,0,0,0,0,18.25,27,8.498,0,0,0,8,91.991,3,37.997,2,10.499,8,129.493,3,19.745,5,33.501,8,126.743,0,0,0,0
