Importance,Test_name,Hypothesis_dimension,Label
1,NA,NA,Subject
1,NA,NA,Batch
1,NA,NA,PVC_Nr
1,NA,NA,Sow
0,LATERAL_Wobbler,NA,L_w
0,LATERAL_Wobbler,NA,R_w
0,LATERAL_Tail,NA,L_t
0,LATERAL_Tail,NA,R_t
0,LATERAL_Flapdoor,NA,L_f
0,LATERAL_Flapdoor,NA,R_f
1,LATERAL_Wobbler,NA,LI_w
0,LATERAL_Wobbler,NA,z_score_w
1,LATERAL_Wobbler,NA,bias_w
1,LATERAL_Flapdoor,NA,LI_f
0,LATERAL_Flapdoor,NA,z_score_f
1,LATERAL_Flapdoor,NA,bias_f
1,LATERAL_Tail,NA,LI_t
0,LATERAL_Tail,NA,z_score_t
1,LATERAL_Tail,NA,bias_t
1,,NA,Test_Nr
0,OFT,NA,elim_freq
1,OFT,Exploration,expl_dur
1,OFT,Exploration,expl_freq
0,OFT,NA,head_invisible
1,OFT,Boldness,jump_freq
0,OFT,NA,knee_dur
0,OFT,NA,knee_freq
1,OFT,Activity,locom_dur
1,OFT,Activity,locom_freq
0,OFT,NA,no_expl_dur
0,OFT,NA,no_expl_freq
0,OFT,NA,stand_dur
0,OFT,NA,stand_freq
1,OFT,Sociability,OFT_voc_freq
0,OFT,NA,sit_ly_freq
1,NOT,Exploration,expl_obj_dur
1,NOT,Exploration,expl_obj_freq
1,NOT,Boldness,NOT_inter_voc_dur
1,NOT,Boldness,lat_expl_obj_dur
0,NOT,NA,no_expl_obj_dur
0,NOT,NA,no_expl_obj_freq
1,BIBAGO,Reward,chew_dur
1,BIBAGO,Reward,chew_freq
1,BIBAGO,Reward,expl_wob_dur
1,BIBAGO,Reward,expl_wob_freq
1,BIBAGO,Punish,freez_dur
1,BIBAGO,Punish,freez_freq
1,BIBAGO,Punish,BIBAGO_inter_voc_dur
1,BIBAGO,Reward,expl_wob_lat
0,BIBAGO,NA,no_expl_wob_dur
0,BIBAGO,NA,no_expl_wob_freq
1,BIBAGO,Punish,BIBAGO_voc_freq
0,BIBAGO,NA,wob_open
1,BIBAGO,Reward,choco_eaten
0,BIBAGO,NA,Kong_score
