Importance,Test_name,Hypothesis-dimension,Label
1,NA,NA,Subject
1,NA,NA,Batch
1,NA,NA,PVC_Nr
1,NA,NA,Sow
0,LATERAL_Wobbler,NA,L_w
0,LATERAL_Wobbler,NA,R_w
0,LATERAL_Tail,NA,L_t
0,LATERAL_Tail,NA,R_t
0,LATERAL_Flapdoor,NA,L_f
0,LATERAL_Flapdoor,NA,R_f
1,LATERAL_Wobbler,NA,LI_w
0,LATERAL_Wobbler,NA,z_score_w
1,LATERAL_Wobbler,NA,bias_w
1,LATERAL_Flapdoor,NA,LI_f
0,LATERAL_Flapdoor,NA,z_score_f
1,LATERAL_Flapdoor,NA,bias_f
1,LATERAL_Tail,NA,LI_t
0,LATERAL_Tail,NA,z_score_t
1,LATERAL_Tail,NA,bias_t
1,NA,NA,Test_Nr
0,OFT,NA,elim_freq
1,OFT,Exploration,expl_dur
1,OFT,Exploration,expl_freq
0,OFT,NA,head_invisible
1,OFT,Boldness,jump_freq
0,OFT,NA,knee_dur
0,OFT,NA,knee_freq
1,OFT,Activity,locom_dur
1,OFT,Activity,locom_freq
0,OFT,NA,no_expl_dur
0,OFT,NA,no_expl_freq
0,OFT,NA,stand_dur
0,OFT,NA,stand_freq
1,OFT,Sociability,OFT_voc_freq
0,OFT,NA,sit_ly_freq
1,NOT,Exploration,expl_obj_dur
1,NOT,Exploration,expl_obj_freq
1,NOT,BIS,NOT_inter_voc_dur
1,NOT,Boldness,lat_expl_obj_dur
0,NOT,NA,no_expl_obj_dur
0,NOT,NA,no_expl_obj_freq
1,BIBAGO,BAS,chew_dur
1,BIBAGO,BAS,chew_freq
1,BIBAGO,BAS,expl_wob_dur
1,BIBAGO,BAS,expl_wob_freq
1,BIBAGO,BIS,freez_dur
1,BIBAGO,BIS,freez_freq
1,BIBAGO,BIS,BIBAGO_inter_voc_dur
1,BIBAGO,BIS,expl_wob_lat
0,BIBAGO,NA,no_expl_wob_dur
0,BIBAGO,NA,no_expl_wob_freq
1,BIBAGO,Punish,BIBAGO_voc_freq
0,BIBAGO,NA,wob_open
1,BIBAGO,BAS,choco_eaten
0,BIBAGO,Reward,Kong_score
0,HAT,NA,HAT_disturbance_freq
1,HAT,Exploration,HAT_exploration_human_dur
1,HAT,Exploration,HAT_exploration_human_freq
1,HAT,Boldness,HAT_jumping_freq
1,HAT,Boldness,HAT_latency_to_touch_the_human_dur
1,HAT,NA,HAT_pig_not_visible_dur
0,HAT,NA,HAT_pig_not_visible_freq
0,HAT,NA,HAT_pig_visible_not_exploring_dur
0,HAT,NA,HAT_pig_visible_not_exploring_freq
1,HAT,BAS,HAT_tail_wagging_freq
1,HAT,Exploration/Sociability?,HAT_touching_not_visible_freq
1,NPT,Sociability,NPT_back_dur
1,NPT,Sociability,NPT_back_freq
1,NPT,Sociability,NPT_climbing_freq
1,NPT,Sociability,NPT_facing_back_dur
1,NPT,Sociability,NPT_facing_back_freq
1,NPT,Sociability,NPT_facing_fence_dur
1,NPT,Sociability,NPT_facing_fence_freq
1,NPT,Sociability,NPT_front_dur
1,NPT,Sociability,NPT_front_freq
1,NPT,Sociability,NPT_latency_back_dur
1,NPT,Sociability,NPT_latency_front_dur
1,NPT,Sociability,NPT_latency_middle_dur
1,NPT,Sociability,NPT_middle_dur
1,NPT,Sociability,NPT_middle_freq
1,NPT,Sociability,NPT_sudden_display_dur
1,NPT,Sociability,NPT_sudden_display_freq
1,NPT,BAS,NPT_tail_wagging_freq
1,NPT,Sociability,NPT_turn_back_freq
1,NPT,Sociability,NPT_walking_by_fence_dur
1,NPT,Sociability,NPT_walking_by_fence_freq
1,NPT,Sociability,NPT_latency_nose_nose_dur
1,NPT,Sociability,NPT_nose_nose_freq
0,NPT,NA,NPT_NP_not_visible_dur
0,NPT,NA,NPT_NP_walking_by_fence_dur
0,NPT,NA,NPT_Sback_NPback_freq
0,NPT,NA,NPT_Sback_NPback_dur
0,NPT,NA,NPT_Sfront_NPback_freq
0,NPT,NA,NPT_Sfront_NPback_dur
0,NPT,NA,NPT_Smiddle_NPback_freq
0,NPT,NA,NPT_Smiddle_NPback_dur
0,NPT,NA,NPT_Smiddle_NPfront_freq
0,NPT,NA,NPT_Smiddle_NPfront_dur
0,NPT,NA,NPT_Sfront_NPfront_freq
0,NPT,NA,NPT_Sfront_NPfront_dur
0,NPT,NA,NPT_Sfaceback_NPfaceback_freq
0,NPT,NA,NPT_Sfaceback_NPfaceback_dur
0,NPT,NA,NPT_Sfaceback_NPfacefence_freq
0,NPT,NA,NPT_Sfaceback_NPfacefence_dur
0,NPT,NA,NPT_Sfacefence_NPfacefence_freq
0,NPT,NA,NPT_Sfacefence_NPfacefence_dur
0,NPT,NA,NPT_Swalkfence_NPwalkfence_freq
0,NPT,NA,NPT_Swalkfence_NPwalkfence_dur
0,NPT,NA,NPT_Swalkfence_NPnotwalkfence_dur
0,NPT,NA,NPT_Snotwalkfence_NPwalkfence_dur
