Batch,Subject,Test_Nr,Novel_pig,PVC_Nr,Sow,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_NP_back_dur,NPT_NP_back_freq,NPT_NP_climbing_freq,NPT_NP_facing_back_dur,NPT_NP_facing_back_freq,NPT_NP_facing_fence_dur,NPT_NP_facing_fence_freq,NPT_NP_front_dur,NPT_NP_front_freq,NPT_NP_latency_nose-nose_dur,NPT_NP_middle_dur,NPT_NP_middle_freq,NPT_NP_nose-nose_freq,NPT_NP_pig_not_visible_dur,NPT_NP_pig_not_visible_freq,NPT_NP_sudden_display_dur,NPT_NP_sudden_display_freq,NPT_NP_tail_wagging_freq,NPT_NP_walking_by_fence_dur,NPT_NP_walking_by_fence_freq,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
1,1,1,9453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,9297,7710,631,0,0,0,52.733,5,217.257,6,257.754,3,270,0,143.503,12.242,2,0,0,0,0,0,0,66.236,6,0,37.753,6,221.23,9,203.752,7,0,0,0,31,0,0,0,0,0,11.001,2,0,0,6,65.74,1,0.495,2,11.746,8,192.003,2,21.251,4,24.734,11,196.49,0,0,0,11.001
1,2,1,8147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,8528,7641,672,56.997,11,0,85.304,12,184.673,12,141.246,8,44.751,0,41.002,71.721,18,0,0,0,0,0,0,0,0,0,0,0,125.757,16,270,1,0,0,0,19,0,0,0,0,0,144.213,15,0,0,0,0,0,0,18,71.721,8,141.246,0,0,9,24.255,14,101.495,0,0,0,144.213
1,3,1,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,2,674,7832,693,6.844,1,0,65.48,9,189.496,10,201.993,8,210,0,76.499,61.146,9,4.245,3,0,2,5.504,1,0,0,0,0,0,200.242,12,270,1,2.5,0,0,17,0,0,0,0,0,69.736,11,0,0,0,0,0,0,9,61.146,8,201.993,0,0,10,36.475,13,155.248,1,4.751,0.752999999999999,64.985
1,4,1,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,2,609,7835,670,36.991,3,0,48.239,7,217.251,7,215.753,5,211.505,0,141.252,17.242,7,4.495,2,0,0,0,0,0,0,0,0,0,244.491,4,270,1,0,0,0,17,0,0,0,0,0,25.503,3,0,0,0,0,0,0,7,17.242,5,215.753,0,0,6,29.986,6,210.996,0,0,0,25.503
1,5,1,9453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,2,9297,7961,718,0,0,0,5.743,2,251.346,6,263.503,2,270,0,236.752,6.494,2,3.157,3,0,0,9.742,2,85.003,4,0,56.502,4,202.751,4,184.991,3,4.75,0,0,32,10.738,2,0,0,0,0,0,0,0,5,78.506,2,6.494,0,0,3,184.991,1,1.5,1,0.748,6,191.351,0,0,9.742,0
