Batch,Subject,PVC_Nr,Sow,,,,
1,1,7710,631,,,,
1,2,7641,672,,,,
1,3,7832,693,,,,
1,4,7835,670,,,,
1,5,7961,718,,,,
1,6,7907,721,,,,
1,7,7865,685,,,,
1,8,7986,685,,,,
1,9,7831,766,,,,
1,10,7966,656,,,,
1,11,7914,765,,,,
1,12,7834,656,,,,
1,13,7765,721,,,,
1,14,7712,713,,,,
1,15,7804,693,,,,
1,16,7962,673,,,,
1,17,7924,765,,,,
1,18,7829,766,,,,
2,1,4,691,,,,
2,2,14,747,,,,
2,3,18,680,,,,
2,4,7,728,,,,
2,5,10,751,,,,
2,6,5,691,,,,
2,7,11,592,,,,
2,8,12,592,,,,
2,9,21,770,,,,
2,10,2,772,,,,
2,11,13,775,,,,
2,12,3,772,,,,
2,13,9,751,,,,
2,14,15,747,,,,
2,15,19,680,,,,
2,16,1,775,,,,
2,17,6,728,,,,
2,18,22,770,,,,
4,1,8831,733,,,,
4,2,8745,746,,,,
4,3,8712,746,,,,
4,4,8641,739,,,,
4,5,8670,743,,,,
4,6,8706,588,,,,
4,7,8620,774,,,,
4,8,8575,774,,,,
4,9,8612,781,,,,
4,10,8590,784,,,,
4,11,8646,781,,,,
4,12,8938,784,,,,
4,13,8587,588,,,,
4,14,8696,743,,,,
4,15,8828,762,,,,
4,16,8565,733,,,,
4,17,8776,762,,,,
4,18,8555,773,,,,
5,1,7910,783,,,,
5,2,7395,766,,,,
5,3,9014,793,,,,
5,4,9133,672,,,,
5,5,8803,783,,,,
5,6,9027,795,,,,
5,7,9110,797,,,,
5,8,9238,797,,,,
5,9,9069,801,,,,
5,10,9172,798,,,,
5,11,9095,801,,,,
5,12,9080,800,,,,
5,13,9130,795,,,,
5,14,7848,766,,,,
5,15,9036,793,,,,
5,16,9043,757,,,,
5,17,7773,757,,,,
5,18,9112,672,,,,
6,1,9233,808,,,,
6,2,8548,804,,,,
6,3,8572,804,,,,
6,4,8653,728,,,,
6,5,9166,810,,,,
6,6,8971,806,,,,
6,7,8564,776,,,,
6,8,8672,813,,,,
6,9,8530,775,,,,
6,10,9100,772,,,,
6,11,8623,775,,,,
6,12,8515,772,,,,
6,13,9089,806,,,,
6,14,8596,810,,,,
6,15,9135,809,,,,
6,16,9180,808,,,,
6,17,8557,776,,,,
6,18,9028,813,,,,
