PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
1,2,16,775,54,38,5,43,68,0,-0.173913043478261,-1.6681153124566,A,-1,-8.24621125123532,L,0.791666666666667,5.48482755730145,R,1,0,47.392,15,0,2,0,0,109.004,35,222.578,16,158.43,38,294,0,80.586,7,0.435,66.69,123.5,8,47.703,12,80.346,80.346,32.3,9,0,92.173,97.466,8,83,0
2,2,10,772,32,55,41,35,64,0,0.264367816091954,2.46585883012693,R,-1,-8,L,-0.0789473684210526,-0.688247201611685,A,1,3,41.725,12,0,3,0,0,124.055,33,228.251,13,141.893,37,123,0,58.531,9,23.554,4.105,207.347,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,12,772,38,40,74,0,0,65,0.0256410256410256,0.226455406828919,A,1,8.06225774829855,R,-1,-8.60232526704263,L,1,1,19.591,6,0,6,0,0,177.401,40,250.397,7,87.272,46,357,0,17.398,5,0,8.583,244.01,5,57.25,20,70.669,70.669,3,1,0.392,21.791,177.509,16,94,0
4,2,1,691,23,71,0,76,61,0,0.51063829787234,4.95082198204221,R,-1,-7.81024967590665,L,1,8.71779788708135,R,1,1,16.712,4,0,1,0,0,132.476,37,253.28,5,136.454,39,251,0,107.843,9,54.606,5.611,156.529,9,80.642,16,151.848,151.848,0,0,18.056,22.505,95.632,8,12,0
5,2,6,691,60,30,48,17,70,0,-0.333333333333333,-3.16227766016838,L,-1,-8.36660026534076,L,-0.476923076923077,-3.84507677226546,L,1,3,19.841,5,0,3,0,0,86.821,28,250.149,6,180.628,31,197,0,18.951,6,2.196,0.592,250.446,6,62.072,17,72.433,72.433,0,0,16.543,27.446,170.092,15,62,0
7,2,4,728,20,34,0,63,70,0,0.259259259259259,1.90515868883136,A,-1,-8.36660026534076,L,1,7.93725393319377,R,1,4,17.344,5,0,0,0,0,46.534,16,252.646,6,223.435,16,47,0,26.392,4,4.4,6.351,237.25,4,0,0,4.398,4.398,31.117,7,101.888,146.89,118.709,2,32,0
9,2,13,751,57,38,75,1,63,0,-0.2,-1.94935886896179,A,-1,-7.93725393319377,L,-0.973684210526316,-8.48838215321078,L,1,2,39.174,12,0,3,2.995,2,165.301,33,230.802,13,98.383,38,150,0,60.2,12,23.567,2.014,207.763,12,48.274,16,147.043,147.043,0,0,24.805,24.203,98.739,8,28,0
10,2,5,751,29,40,2,73,0,69,0.159420289855072,1.32424438394346,A,1,8.30662386291807,R,0.946666666666667,8.19837382249269,R,1,4,18.79,6,0,0,7.997,2,76.514,26,251.198,7,185.433,29,113,0,34.589,6,27.824,6.174,229.226,6,0,0,0.501,0.501,11.25,3,11.668,32.918,236.58,1,85,0
11,2,7,592,37,33,6,58,68,0,-0.0571428571428571,-0.478091443733757,A,-1,-8.24621125123532,L,0.8125,6.5,R,1,6,24.149,8,0,1,0,0,118.302,31,245.835,9,151.133,32,283,0,11.75,5,6.411,27.759,230.482,5,0,0,0.151,0.151,20.401,5,0,154.387,115.461,1,171,0
12,2,8,592,61,19,8,68,0,71,-0.525,-4.69574275274956,L,1,8.42614977317636,R,0.789473684210526,6.88247201611685,R,1,1,54.94,14,0,0,0,0,111.766,30,215.032,15,155.173,31,41,0,98.494,5,80.217,26.965,144.532,5,94.134,18,119.444,119.444,6.75,1,50.621,50.628,99.903,13,5,0
