Subject,Batch,PVC_Nr,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t
1,1,7710,631,40,50,36,38,70,0,0.111111111111111,1.05409255338946,A,-1,-8.36660026534076,L,0.027027027027027,0.232495277487639,A
1,2,4,691,23,71,0,76,61,0,0.51063829787234,4.95082198204221,R,-1,-7.81024967590665,L,1,8.71779788708135,R
1,4,8831,733,50,42,78,1,72,0,-0.0869565217391304,-0.834057656228299,A,-1,-8.48528137423857,L,-0.974683544303797,-8.66317683713038,L
1,5,7910,783,40,31,13,18,0,62,-0.126760563380282,-1.06810349237447,A,1,7.87400787401181,R,0.161290322580645,0.898026510133875,A
1,6,9233,808,27,28,2,73,0,73,0.0181818181818182,0.134839972492648,A,1,8.54400374531753,R,0.946666666666667,8.19837382249269,R
2,1,7641,672,17,75,15,60,0,70,0.630434782608696,6.04691800765517,R,1,8.36660026534076,R,0.6,5.19615242270663,R
2,2,14,747,36,43,76,0,70,0,0.0886075949367089,0.787561530648217,A,-1,-8.36660026534076,L,-1,-8.71779788708135,L
2,4,8745,746,19,63,73,6,76,0,0.536585365853659,4.85898714729325,R,-1,-8.71779788708135,L,-0.848101265822785,-7.53808893620436,L
2,5,7395,766,16,30,12,20,46,0,0.304347826086957,2.06418738616856,R,-1,-6.78232998312527,L,0.25,1.41421356237309,A
2,6,8548,804,10,67,61,14,76,0,0.74025974025974,6.49575285819936,R,-1,-8.71779788708135,L,-0.626666666666667,-5.42709253038248,L
3,1,7832,693,31,64,75,1,74,0,0.347368421052632,3.38572856188101,R,-1,-8.60232526704263,L,-0.973684210526316,-8.48838215321078,L
3,2,18,680,26,65,39,33,0,67,0.428571428571429,4.08831086321548,R,1,8.18535277187245,R,-0.0833333333333333,-0.707106781186548,A
3,4,8712,746,29,35,2,77,0,71,0.09375,0.75,A,1,8.42614977317636,R,0.949367088607595,8.43815925694518,R
3,5,9014,793,28,42,31,1,5,52,0.2,1.67332005306815,A,0.824561403508772,6.22530207820571,R,-0.9375,-5.30330085889911,L
3,6,8572,804,43,48,24,52,69,0,0.0549450549450549,0.524142418360959,A,-1,-8.30662386291807,L,0.368421052631579,3.21182027418786,R
4,1,7835,670,46,46,0,75,72,0,0,0,A,-1,-8.48528137423857,L,1,8.66025403784439,R
4,2,7,728,20,34,0,63,70,0,0.259259259259259,1.90515868883136,A,-1,-8.36660026534076,L,1,7.93725393319377,R
4,4,8641,739,35,43,78,0,72,0,0.102564102564103,0.905821627315677,A,-1,-8.48528137423857,L,-1,-8.83176086632785,L
4,5,9133,672,51,28,0,29,0,61,-0.291139240506329,-2.58770217212985,L,1,7.81024967590665,R,1,5.3851648071345,R
4,6,8653,728,17,7,42,33,0,75,NA,NA,NA,1,8.66025403784439,R,-0.12,-1.03923048454133,A
5,1,7961,718,12,35,0,0,73,0,0.48936170212766,3.35489480445157,R,-1,-8.54400374531753,L,NA,NA,NA
5,2,10,751,29,40,2,73,0,69,0.159420289855072,1.32424438394346,A,1,8.30662386291807,R,0.946666666666667,8.19837382249269,R
5,4,8670,743,51,12,31,48,0,74,-0.619047619047619,-4.91353814911995,L,1,8.60232526704263,R,0.215189873417722,1.91264943157424,A
5,5,8803,783,24,17,3,29,18,37,-0.170731707317073,-1.09321633322024,A,0.345454545454545,2.56195947736032,R,0.8125,4.59619407771256,R
5,6,9166,810,4,30,42,28,71,0,0.764705882352941,4.45896321370523,R,-1,-8.42614977317636,L,-0.2,-1.67332005306815,A
6,1,7907,721,52,33,75,1,0,71,-0.223529411764706,-2.06083934927723,L,1,8.42614977317636,R,-0.973684210526316,-8.48838215321078,L
6,2,5,691,60,30,48,17,70,0,-0.333333333333333,-3.16227766016838,L,-1,-8.36660026534076,L,-0.476923076923077,-3.84507677226546,L
6,4,8706,588,32,54,13,47,0,74,0.255813953488372,2.37232101047565,R,1,8.60232526704263,R,0.566666666666667,4.38938112570174,R
