Batch;Subject;Test;Observations_id;expl_dur;expl_freq;no_expl_dur;no_expl_freq
1;1;1;Group1_OFT1_id01;15.238;6;255.038;7
1;2;1;Group1_OFT1_id02;26.185;8;243.799;9
1;3;1;Group1_OFT1_id03;72.341;16;197.627;17
1;4;1;Group1_OFT1_id04;29.793;8;240.628;9
1;5;1;Group1_OFT1_id05;112.589;11;157.390;11
1;6;1;Group1_OFT1_id06;97.594;12;172.382;13
1;7;1;Group1_OFT1_id07;9.252;2;260.744;3
1;8;1;Group1_OFT1_id08;2.247;1;267.751;2
1;9;1;Group1_OFT1_id09;19.735;6;250.253;7
1;10;1;Group1_OFT1_id10;34.848;9;235.135;9
1;11;1;Group1_OFT1_id11;14.743;5;255.247;6
1;12;1;Group1_OFT1_id12;69.980;11;200.000;11
1;13;1;Group1_OFT1_id13;62.736;13;207.238;14
1;14;1;Group1_OFT1_id14;55.183;14;214.789;15
1;15;1;Group1_OFT1_id15;10.853;3;259.141;4
1;16;1;Group1_OFT1_id16;24.238;8;245.746;9
1;1;2;Group1_OFT2_id01;25.793;7;244.193;8
1;2;2;Group1_OFT2_id02;87.094;10;182.886;11
1;3;2;Group1_OFT2_id03;120.939;15;149.031;16
1;4;2;Group1_OFT2_id04;73.738;17;196.228;18
1;5;2;Group1_OFT2_id05;115.884;14;154.089;14
1;6;2;Group1_OFT2_id06;81.154;18;188.811;18
1;7;2;Group1_OFT2_id07;11.298;4;258.694;5
1;8;2;Group1_OFT2_id08;35.178;9;234.804;10
1;9;2;Group1_OFT2_id09;60.196;12;209.780;13
1;10;2;Group1_OFT2_id10;81.035;19;188.927;20
1;11;2;Group1_OFT2_id11;11.594;4;258.398;5
1;12;2;Group1_OFT2_id12;131.895;13;138.079;14
1;13;2;Group1_OFT2_id13;95.980;20;173.980;21
1;14;2;Group1_OFT2_id14;54.998;12;214.978;13
1;15;2;Group1_OFT2_id15;24.650;4;245.343;4
1;16;2;Group1_OFT2_id16;45.329;10;224.652;10
2;1;1;Group2_OFT1_id01;16.712;4;253.280;5
2;2;1;Group2_OFT1_id02;27.755;6;242.233;7
2;3;1;Group2_OFT1_id03;48.579;10;221.401;11
2;4;1;Group2_OFT1_id04;17.344;5;252.646;6
2;5;1;Group2_OFT1_id05;18.790;6;251.198;7
2;6;1;Group2_OFT1_id06;19.841;5;250.149;6
2;7;1;Group2_OFT1_id07;24.149;8;245.835;9
2;8;1;Group2_OFT1_id08;54.940;14;215.032;15
2;9;1;Group2_OFT1_id09;37.244;12;232.732;13
2;10;1;Group2_OFT1_id10;41.725;12;228.251;13
2;11;1;Group2_OFT1_id11;33.536;10;236.445;10
2;12;1;Group2_OFT1_id12;19.591;6;250.397;7
2;13;1;Group2_OFT1_id13;39.174;12;230.802;13
2;14;1;Group2_OFT1_id14;87.522;19;182.440;20
2;15;1;Group2_OFT1_id15;27.691;8;242.293;9
2;16;1;Group2_OFT1_id16;47.392;15;222.578;16
2;1;2;Group2_OFT2_id01;38.732;11;231.246;12
2;2;2;Group2_OFT2_id02;38.936;9;231.047;9
2;3;2;Group2_OFT2_id03;71.092;15;198.878;16
2;4;2;Group2_OFT2_id04;61.930;15;208.040;16
2;5;2;Group2_OFT2_id05;29.994;6;239.994;7
2;6;2;Group2_OFT2_id06;79.447;13;190.529;14
2;7;2;Group2_OFT2_id07;2.499;1;267.499;2
2;8;2;Group2_OFT2_id08;77.048;17;192.918;18
2;9;2;Group2_OFT2_id09;79.030;17;190.936;18
2;10;2;Group2_OFT2_id10;117.426;12;152.552;11
2;11;2;Group2_OFT2_id11;74.234;15;195.736;16
2;12;2;Group2_OFT2_id12;103.863;20;166.097;21
2;13;2;Group2_OFT2_id13;70.927;15;199.043;16
2;14;2;Group2_OFT2_id14;113.761;20;156.199;21
2;15;2;Group2_OFT2_id15;32.690;8;237.294;9
2;16;2;Group2_OFT2_id16;58.238;9;211.744;10
4;1;1;Group4_OFT1_id01;17.755;6;252.233;7
4;2;1;Group4_OFT1_id02;50.396;12;219.580;13
4;3;1;Group4_OFT1_id03;50.288;15;219.682;16
4;4;1;Group4_OFT1_id04;26.482;8;243.502;9
4;5;1;Group4_OFT1_id05;65.989;9;203.993;10
4;6;1;Group4_OFT1_id06;40.102;11;229.876;12
4;7;1;Group4_OFT1_id07;65.636;18;204.328;19
4;8;1;Group4_OFT1_id08;38.795;9;231.187;10
4;9;1;Group4_OFT1_id09;46.140;13;223.835;13
4;10;1;Group4_OFT1_id10;23.744;8;246.240;9
4;11;1;Group4_OFT1_id11;35.044;11;234.935;12
4;12;1;Group4_OFT1_id12;11.601;5;258.389;6
4;13;1;Group4_OFT1_id13;67.840;15;202.131;15
4;14;1;Group4_OFT1_id14;57.857;10;212.123;11
4;15;1;Group4_OFT1_id15;35.995;11;233.983;12
4;16;1;Group4_OFT1_id16;28.239;9;241.743;10
4;1;2;Group4_OFT2_id01;2.246;1;267.752;2
4;2;2;Group4_OFT2_id02;50.280;13;219.694;14
4;3;2;Group4_OFT2_id03;24.691;8;244.444;9
4;4;2;Group4_OFT2_id04;13.199;4;256.793;5
4;5;2;Group4_OFT2_id05;19.966;7;250.020;8
4;6;2;Group4_OFT2_id06;22.043;6;247.945;7
4;7;2;Group4_OFT2_id07;75.808;14;194.164;15
4;8;2;Group4_OFT2_id08;46.070;7;223.916;8
4;9;2;Group4_OFT2_id09;122.919;18;147.045;19
4;10;2;Group4_OFT2_id10;34.037;10;235.943;11
4;11;2;Group4_OFT2_id11;113.782;15;156.188;16
4;12;2;Group4_OFT2_id12;48.607;9;221.376;9
4;13;2;Group4_OFT2_id13;139.489;12;130.487;13
4;14;2;Group4_OFT2_id14;102.877;20;167.084;20
4;15;2;Group4_OFT2_id15;126.645;20;143.315;21
4;16;2;Group4_OFT2_id16;0;0;270.000;1
5;1;1;Group5_OFT1_id01;26.250;7;243.736;8
5;2;1;Group5_OFT1_id02;32.739;10;237.241;11
5;3;1;Group5_OFT1_id03;72.143;12;196.833;13
5;4;1;Group5_OFT1_id04;58.424;13;211.550;14
5;5;1;Group5_OFT1_id05;83.467;18;186.497;19
5;6;1;Group5_OFT1_id06;101.630;19;168.332;20
5;7;1;Group5_OFT1_id07;33.149;6;236.839;7
5;8;1;Group5_OFT1_id08;9.001;3;260.993;4
5;9;1;Group5_OFT1_id09;77.395;14;192.577;15
5;11;1;Group5_OFT1_id11;77.410;15;192.560;16
5;12;1;Group5_OFT1_id12;120.489;16;149.479;17
5;13;1;Group5_OFT1_id13;75.345;16;194.623;17
5;14;1;Group5_OFT1_id14;30.760;10;239.221;11
5;15;1;Group5_OFT1_id15;74.039;14;195.933;15
5;16;1;Group5_OFT1_id16;16.853;6;253.135;7
5;17;1;Group5_OFT1_id17;21.534;8;248.450;9
5;1;2;Group5_OFT2_id01;74.247;11;195.734;11
5;2;2;Group5_OFT2_id02;68.690;13;201.285;13
5;3;2;Group5_OFT2_id03;62.327;17;207.639;18
5;4;2;Group5_OFT2_id04;19.346;7;242.492;7
5;5;2;Group5_OFT2_id05;107.703;16;162.165;17
5;6;2;Group5_OFT2_id06;102.967;15;167.003;16
5;7;2;Group5_OFT2_id07;47.383;14;222.589;15
5;8;2;Group5_OFT2_id08;32.416;6;237.572;7
5;9;2;Group5_OFT2_id09;46.986;13;222.988;14
5;11;2;Group5_OFT2_id11;121.728;17;148.238;18
5;12;2;Group5_OFT2_id12;63.248;11;206.730;12
5;13;2;Group5_OFT2_id13;39.872;13;230.753;13
5;14;2;Group5_OFT2_id14;33.256;11;236.722;12
5;15;2;Group5_OFT2_id15;59.003;12;210.973;13
5;16;2;Group5_OFT2_id16;29.640;8;240.345;8
5;17;2;Group5_OFT2_id17;29.722;7;240.264;8
6;1;1;Group6_OFT1_id01;70.580;20;199.380;21
6;2;1;Group6_OFT1_id02;22.392;6;247.596;7
6;3;1;Group6_OFT1_id03;54.745;15;215.225;16
6;4;1;Group6_OFT1_id04;58.296;16;211.673;16
6;5;1;Group6_OFT1_id05;36.484;9;233.498;10
6;6;1;Group6_OFT1_id06;77.298;16;192.670;17
6;8;1;Group6_OFT1_id08;61.296;13;208.678;14
6;9;1;Group6_OFT1_id09;86.622;22;181.733;23
6;10;1;Group6_OFT1_id10;50.238;14;219.734;15
6;11;1;Group6_OFT1_id11;50.980;13;218.994;14
6;12;1;Group6_OFT1_id12;68.792;17;201.174;18
6;13;1;Group6_OFT1_id13;52.633;15;217.338;15
6;14;1;Group6_OFT1_id14;26.547;7;243.439;8
6;15;1;Group6_OFT1_id15;22.867;7;247.119;8
6;16;1;Group6_OFT1_id16;26.196;7;243.790;8
6;18;1;Group6_OFT1_id18;50.285;13;219.690;13
6;1;2;Group6_OFT2_id01;82.604;16;161.019;17
6;2;2;Group6_OFT2_id02;2.439;1;20.303;2
6;3;2;Group6_OFT2_id03;19.743;7;250.243;8
6;4;2;Group6_OFT2_id04;21.804;4;133.042;5
6;5;2;Group6_OFT2_id05;37.576;7;232.410;8
6;6;2;Group6_OFT2_id06;108.991;7;160.995;8
6;8;2;Group6_OFT2_id08;160.070;15;109.900;16
6;9;2;Group6_OFT2_id09;55.705;12;214.271;13
6;10;2;Group6_OFT2_id10;85.948;13;184.647;14
6;11;2;Group6_OFT2_id11;56.229;12;214.670;13
6;12;2;Group6_OFT2_id12;97.674;16;172.294;17
6;13;2;Group6_OFT2_id13;58.743;10;211.237;11
6;14;2;Group6_OFT2_id14;39.615;9;230.367;10
6;15;2;Group6_OFT2_id15;44.609;12;216.367;13
6;16;2;Group6_OFT2_id16;28.290;7;241.696;8
6;18;2;Group6_OFT2_id18;131.341;16;138.627;17
