PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
1,2,16,775,54,38,5,43,68,0,-0.173913043478261,-1.6681153124566,A,-1,-8.24621125123532,L,0.791666666666667,5.48482755730145,R,2,0,NA,NA,12.26,0,0,0,69.012,24,211.744,10,200.941,24,77,0,140.684,11,2.846,10.947,118.348,11,39.748,12,46.386,10,15.5,4,0,39.135,184.46,10,53,0
2,2,10,772,32,55,41,35,64,0,0.264367816091954,2.46585883012693,R,-1,-8,L,-0.0789473684210526,-0.688247201611685,A,2,4,117.426,12,0,0,0,0,109.826,26,152.552,11,160.122,27,22,0,31.344,7,53.584,11.733,226.26,7,66.246,20,99.427,10,2.898,1,151.33,28.533,142.021,10,8,0
3,2,12,772,38,40,74,0,0,65,0.0256410256410256,0.226455406828919,A,1,8.06225774829855,R,-1,-8.60232526704263,L,2,3,86.839,21,4.753,0,0,0,104.927,27,183.119,22,165.019,28,85,0,40.844,5,4.126,170.377,46.224,5,13.303,6,64.409,19,6.5,2,2.362,7.262,198.292,19,71,0
4,2,1,691,23,71,0,76,61,0,0.51063829787234,4.95082198204221,R,-1,-7.81024967590665,L,1,8.71779788708135,R,2,1,38.732,11,0,0,0,0,103.275,30,231.246,12,166.665,31,37,0,72.8,4,54.257,12.057,185.136,4,13.104,6,100.216,7,0,0,68.123,113.029,56.743,6,9,0
5,2,6,691,60,30,48,17,70,0,-0.333333333333333,-3.16227766016838,L,-1,-8.36660026534076,L,-0.476923076923077,-3.84507677226546,L,2,1,79.447,13,0,0,0,0,88.77,26,190.529,14,181.178,27,56,0,153.813,6,0.84,2.723,113.454,5,18.492,8,61.618,6,3.499,1,4.12,37.572,170.8,5,37,0
7,2,4,728,20,34,0,63,70,0,0.259259259259259,1.90515868883136,A,-1,-8.36660026534076,L,1,7.93725393319377,R,2,5,58.88,14,3.05,0,0,0,69.308,20,211.092,15,200.653,20,58,0,50.795,7,0.894,15.893,203.299,7,0,0,9.094,4,3.503,1,40.189,41.191,219.708,4,30,0
9,2,13,751,57,38,75,1,63,0,-0.2,-1.94935886896179,A,-1,-7.93725393319377,L,-0.973684210526316,-8.48838215321078,L,2,2,NA,NA,5.252,0,0,0,101.483,24,205.324,15,168.47,24,80,0,126.65,8,2.017,1.218,142.117,8,16.993,7,79.449,10,0,0,21.583,42.731,147.801,10,32,0
10,2,5,751,29,40,2,73,0,69,0.159420289855072,1.32424438394346,A,1,8.30662386291807,R,0.946666666666667,8.19837382249269,R,2,6,29.994,6,0,0,0,0,81.004,26,239.994,7,188.944,27,41,0,60.291,7,17.716,24.366,185.33,7,0,0,6.951,4,3.746,1,12.964,14.713,248.329,4,22,0
11,2,7,592,37,33,6,58,68,0,-0.0571428571428571,-0.478091443733757,A,-1,-8.24621125123532,L,0.8125,6.5,R,2,6,2.499,1,0,0,0,0,38.395,13,267.499,2,231.579,14,64,0,15.647,5,7.345,79.046,175.298,5,0,0,4.402,2,7.499,2,0,168.287,97.308,2,89,0
12,2,8,592,61,19,8,68,0,71,-0.525,-4.69574275274956,L,1,8.42614977317636,R,0.789473684210526,6.88247201611685,R,2,3,73.449,16,3.501,0,0,0,65.38,19,196.519,17,204.584,18,8,0,175.255,3,22.84,39.885,54.855,3,41.604,14,67.284,10,3.551,1,140.799,28.85,173.847,10,1,0
